run_id,optimizer_algo,environment,avoidance_algo,seed,aggregation_status
nsga-3_forest_nsga-3_seed21,nsga-3,forest,nsga-3,21,aggregated
nsga-3_forest_nsga-3_seed22,nsga-3,forest,nsga-3,22,aggregated
nsga-3_forest_nsga-3_seed23,nsga-3,forest,nsga-3,23,aggregated
nsga-3_forest_nsga-3_seed24,nsga-3,forest,nsga-3,24,aggregated
nsga-3_forest_nsga-3_seed25,nsga-3,forest,nsga-3,25,aggregated
nsga-3_forest_nsga-3_seed26,nsga-3,forest,nsga-3,26,aggregated
nsga-3_forest_nsga-3_seed27,nsga-3,forest,nsga-3,27,aggregated
nsga-3_forest_nsga-3_seed28,nsga-3,forest,nsga-3,28,aggregated
nsga-3_forest_nsga-3_seed29,nsga-3,forest,nsga-3,29,aggregated
nsga-3_forest_nsga-3_seed3,nsga-3,forest,nsga-3,3,aggregated
nsga-3_forest_nsga-3_seed30,nsga-3,forest,nsga-3,30,aggregated
nsga-3_forest_nsga-3_seed4,nsga-3,forest,nsga-3,4,aggregated
nsga-3_forest_nsga-3_seed5,nsga-3,forest,nsga-3,5,aggregated
nsga-3_forest_nsga-3_seed6,nsga-3,forest,nsga-3,6,aggregated
nsga-3_forest_nsga-3_seed7,nsga-3,forest,nsga-3,7,aggregated
nsga-3_forest_nsga-3_seed8,nsga-3,forest,nsga-3,8,aggregated
nsga-3_forest_nsga-3_seed9,nsga-3,forest,nsga-3,9,aggregated
nsga-3_urban_nsga-3_seed1,nsga-3,urban,nsga-3,1,aggregated
nsga-3_urban_nsga-3_seed10,nsga-3,urban,nsga-3,10,aggregated
nsga-3_urban_nsga-3_seed11,nsga-3,urban,nsga-3,11,aggregated
nsga-3_urban_nsga-3_seed12,nsga-3,urban,nsga-3,12,aggregated
nsga-3_urban_nsga-3_seed13,nsga-3,urban,nsga-3,13,aggregated
nsga-3_urban_nsga-3_seed14,nsga-3,urban,nsga-3,14,aggregated
nsga-3_urban_nsga-3_seed15,nsga-3,urban,nsga-3,15,aggregated
nsga-3_urban_nsga-3_seed16,nsga-3,urban,nsga-3,16,aggregated
nsga-3_urban_nsga-3_seed17,nsga-3,urban,nsga-3,17,aggregated
nsga-3_urban_nsga-3_seed18,nsga-3,urban,nsga-3,18,aggregated
nsga-3_urban_nsga-3_seed19,nsga-3,urban,nsga-3,19,aggregated
nsga-3_urban_nsga-3_seed2,nsga-3,urban,nsga-3,2,aggregated
nsga-3_urban_nsga-3_seed20,nsga-3,urban,nsga-3,20,aggregated
nsga-3_urban_nsga-3_seed21,nsga-3,urban,nsga-3,21,aggregated
nsga-3_urban_nsga-3_seed22,nsga-3,urban,nsga-3,22,aggregated
nsga-3_urban_nsga-3_seed23,nsga-3,urban,nsga-3,23,aggregated
nsga-3_urban_nsga-3_seed24,nsga-3,urban,nsga-3,24,aggregated
nsga-3_urban_nsga-3_seed25,nsga-3,urban,nsga-3,25,aggregated
nsga-3_urban_nsga-3_seed26,nsga-3,urban,nsga-3,26,aggregated
nsga-3_urban_nsga-3_seed27,nsga-3,urban,nsga-3,27,aggregated
nsga-3_urban_nsga-3_seed28,nsga-3,urban,nsga-3,28,aggregated
nsga-3_urban_nsga-3_seed29,nsga-3,urban,nsga-3,29,aggregated
nsga-3_urban_nsga-3_seed3,nsga-3,urban,nsga-3,3,aggregated
nsga-3_urban_nsga-3_seed30,nsga-3,urban,nsga-3,30,aggregated
nsga-3_urban_nsga-3_seed4,nsga-3,urban,nsga-3,4,aggregated
nsga-3_urban_nsga-3_seed5,nsga-3,urban,nsga-3,5,aggregated
nsga-3_urban_nsga-3_seed6,nsga-3,urban,nsga-3,6,aggregated
nsga-3_urban_nsga-3_seed7,nsga-3,urban,nsga-3,7,aggregated
nsga-3_urban_nsga-3_seed8,nsga-3,urban,nsga-3,8,aggregated
nsga-3_urban_nsga-3_seed9,nsga-3,urban,nsga-3,9,aggregated
ooa_forest_ooa_seed1,ooa,forest,ooa,1,aggregated
ooa_forest_ooa_seed10,ooa,forest,ooa,10,aggregated
ooa_forest_ooa_seed11,ooa,forest,ooa,11,aggregated
ooa_forest_ooa_seed12,ooa,forest,ooa,12,aggregated
ooa_forest_ooa_seed13,ooa,forest,ooa,13,aggregated
ooa_forest_ooa_seed14,ooa,forest,ooa,14,aggregated
ooa_forest_ooa_seed15,ooa,forest,ooa,15,aggregated
ooa_forest_ooa_seed16,ooa,forest,ooa,16,aggregated
ooa_forest_ooa_seed17,ooa,forest,ooa,17,aggregated
ooa_forest_ooa_seed18,ooa,forest,ooa,18,aggregated
ooa_forest_ooa_seed19,ooa,forest,ooa,19,aggregated
ooa_forest_ooa_seed2,ooa,forest,ooa,2,aggregated
ooa_forest_ooa_seed20,ooa,forest,ooa,20,aggregated
ooa_forest_ooa_seed21,ooa,forest,ooa,21,aggregated
ooa_forest_ooa_seed22,ooa,forest,ooa,22,aggregated
ooa_forest_ooa_seed23,ooa,forest,ooa,23,aggregated
ooa_forest_ooa_seed24,ooa,forest,ooa,24,aggregated
ooa_forest_ooa_seed25,ooa,forest,ooa,25,aggregated
ooa_forest_ooa_seed26,ooa,forest,ooa,26,aggregated
ooa_forest_ooa_seed27,ooa,forest,ooa,27,aggregated
ooa_forest_ooa_seed28,ooa,forest,ooa,28,aggregated
ooa_forest_ooa_seed29,ooa,forest,ooa,29,aggregated
ooa_forest_ooa_seed3,ooa,forest,ooa,3,aggregated
ooa_forest_ooa_seed30,ooa,forest,ooa,30,aggregated
ooa_forest_ooa_seed4,ooa,forest,ooa,4,aggregated
ooa_forest_ooa_seed5,ooa,forest,ooa,5,aggregated
ooa_forest_ooa_seed6,ooa,forest,ooa,6,aggregated
ooa_forest_ooa_seed7,ooa,forest,ooa,7,aggregated
ooa_forest_ooa_seed8,ooa,forest,ooa,8,aggregated
ooa_forest_ooa_seed9,ooa,forest,ooa,9,aggregated
ooa_urban_ooa_seed1,ooa,urban,ooa,1,aggregated
ooa_urban_ooa_seed10,ooa,urban,ooa,10,aggregated
ooa_urban_ooa_seed11,ooa,urban,ooa,11,aggregated
ooa_urban_ooa_seed12,ooa,urban,ooa,12,aggregated
